,Year,Award,Winner
0,1948,Play,Max Meth
1,1949,Musical,Kiss Me Kate
2,1949,Play,Arthur Miller
3,1950,Musical,South Pacific
4,1950,Play,The Cocktail Party by T
5,1951,Musical,Guys and Dolls
6,1951,Play,The Rose Tattoo by Tennessee Williams
7,1952,Musical,The King and I
8,1952,Play,The Fourposter by Jan de Hartog
9,1953,Musical,Wonderful Town
10,1953,Play,The Crucible by Arthur Miller
11,1954,Musical,Kismet
12,1954,Play,The Teahouse of the August Moon by John Patrick
13,1955,Musical,The Pajama Game
14,1955,Play,The Desperate Hours by Joseph Hayes
15,1956,Musical,Damn Yankees by George Abbot and Douglass Wallop
16,1956,Play,The Diary of Anne Frank by Frances Goodrich and Albert Hackett
17,1957,Musical,My Fair Lady
18,1957,Play,Long Day's Journey Into Night by Eugene O'Neill
19,1958,Musical,Vincent J
20,1958,Play,The Music Man
21,1959,Musical,Elia Kazan
22,1959,Play,Redhead by Herbert and Dorothy Fields
23,1960,Musical,The Sound of Music by Howard Lindsay and Russel Crouse
24,1960,Play,Fiorello! By Jerome Weidman and George Abbott
25,1961,Musical,Bye
26,1961,Play,Becket by Jean Anouilh
27,1962,Musical,Abe Burrows
28,1962,Play,How to Succeed in Business Without Really Trying
29,1963,Musical,A Funny Thing Happened on the Way to the Forum
30,1963,Play,Who's Afraid of Virginia Woolf? by Edward Albee
31,1964,Musical,Hello
32,1964,Play,Luther by John Osborne
33,1965,Musical,Fiddler on the Roof
34,1965,Play,The Subject Was Roses by Frank Gilroy
35,1966,Musical,Man of La Mancha
36,1966,Play,Marat/Sade by Peter Weiss
37,1967,Musical,Cabaret
38,1967,Play,The Homecoming by Harold Pinter
39,1968,Musical,Mike Nichols
40,1968,Play,Jule Styne
41,1969,Musical,1776
42,1969,Play,The Great White Hope by Howard Sackler
43,1970,Musical,Applause
44,1970,Play,Borstal Boy by Frank McMahon
45,1971,Musical,Company
46,1971,Play,Stephen Sondheim
47,1972,Musical,Two Gentleman of Verona
48,1972,Play,Sticks and Bones by David Rabe
49,1973,Musical,A Little Night Music
50,1973,Play,That Championship Season by Jason Miller
51,1974,Musical,Raisin
52,1974,Play,The River Niger by Joseph A
53,1975,Musical,The Wiz
54,1975,Play,Equus by Peter Shaffer
55,1976,Musical,A Chorus Line
56,1976,Play,Travesties by Tom Stoppard
57,1977,Musical,Jennifer Tipton
58,1977,Play,Annie
59,1977,Revival,Mark Taper Forum
60,1978,Musical,Ain't Misbehavin'
61,1978,Play,Da by Hugh Leonard
62,1978,Revival,Dracula
63,1979,Musical,Roger Morgan
64,1979,Play,Sweeney Todd
65,1980,Musical,Evita
66,1980,Play,Children of a Lesser God by Mark Medoff
67,1980,Revival,Morning's at Seven
68,1981,Musical,42nd Street
69,1981,Play,Amadeus by Peter Shaffer
70,1981,Revival,The Pirates of Penzance
71,1982,Musical,Nine
72,1982,Play,The Life and Adventures of Nicholas Nickleby by David Edgar
73,1982,Revival,Othello
74,1983,Musical,Cats
75,1983,Play,Torch Song Trilogy by Harvey Fierstein
76,1983,Revival,On Your Toes
77,1984,Musical,La Cage aux Folles
78,1984,Play,The Real Thing by Tom Stoppard
79,1984,Revival,Death of a Salesman
80,1985,Musical,Big River
81,1985,Play,Biloxi Blues by Neil Simon
82,1985,Revival,Joe Egg
83,1986,Musical,The Mystery of Edwin Drood
84,1986,Play,I'm Not Rappaport by Herb Gardner
85,1986,Revival,Sweet Charity
86,1987,Musical,Les Misérables 
87,1987,Play,Fences by August Wilson
88,1987,Revival,All My Sons
89,1988,Musical,The Phantom of the Opera
