,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
12,wicked (tour: munchkinland),US-WA-881,31,17,13,62,WA
19,wicked (tour: emerald city),US-OK-671,58,22,11,55,OK
22,avenue q (tour),US-CO-751,39,32,22,23,CO
24,anything goes,US-SC-567,45,18,4,62,SC
27,fiddler on the roof (tour),US-TN-640,50,25,6,22,TN
31,wicked (tour: emerald city),US-IL-602,94,14,11,25,IL
32,avenue q (tour),US-FL-561,91,17,5,0,FL
39,avenue q (tour),US-TX-635,93,11,2,48,TX
40,wicked (tour: munchkinland),US-MO-616,49,31,15,23,MO
41,wicked (tour: munchkinland),US-NY-514,37,21,13,63,NY
44,into the woods (tour),US-CA-807,50,11,2,10,CA
54,into the woods (tour),US-NY-523,34,23,10,43,NY
60,wicked (tour: emerald city),US-NY-538,82,6,3,100,NY
61,wicked (tour: munchkinland),US-NY-555,18,19,22,100,NY
62,wicked (tour: munchkinland),US-IL-675,19,24,29,100,IL
63,into the woods (tour),US-PA-566,21,18,21,63,PA
64,wicked (tour: emerald city),US-MA-521,30,32,35,78,MA
65,wicked (tour: munchkinland),US-PA-508,10,9,9,100,PA
66,avenue q (tour),US-CA-803,30,16,19,73,CA
67,avenue q (tour),US-FL-548,10,9,14,43,FL
70,fiddler on the roof (tour),US-WA-881,8,7,13,21,WA
71,wicked (tour: emerald city),US-OH-515,14,16,18,62,OH
72,wicked (tour: munchkinland),US-OR-820,10,12,11,74,OR
73,fiddler on the roof (tour),US-FL-539,22,18,20,64,FL
74,fiddler on the roof (tour),US-FL-534,12,17,17,86,FL
75,fiddler on the roof (tour),US-TX-635,15,9,10,87,TX
76,wicked (tour: munchkinland),US-DC-511,17,10,14,89,DC
77,wicked (tour: emerald city),US-AZ-789,22,17,17,71,AZ
78,wicked (tour: emerald city),US-VA-556,9,8,16,36,VA
79,avenue q (tour),US-TX-641,11,12,17,45,TX
80,fiddler on the roof (tour),US-IL-602,13,9,11,64,IL
81,wicked (tour: munchkinland),US-NY-523,17,11,15,39,NY
82,fiddler on the roof (tour),US-FL-561,17,17,18,94,FL
83,into the woods (tour),US-CA-803,6,6,12,49,CA
84,fiddler on the roof (tour),US-MN-613,4,6,12,30,MN
85,fiddler on the roof (tour),US-NY-514,19,16,16,100,NY
86,wicked (tour: emerald city),US-HI-744,9,6,7,100,HI
