,date,frequency,search_term,geo_code
0,2005-09-01 00:00:00,0,Jersey Boys,US-OH-547
1,2005-10-01 00:00:00,0,Jersey Boys,US-OH-547
2,2005-11-01 00:00:00,0,Jersey Boys,US-OH-547
3,2005-12-01 00:00:00,0,Jersey Boys,US-OH-547
4,2006-01-01 00:00:00,0,Jersey Boys,US-OH-547
5,2006-02-01 00:00:00,0,Jersey Boys,US-OH-547
6,2006-03-01 00:00:00,0,Jersey Boys,US-OH-547
7,2006-04-01 00:00:00,0,Jersey Boys,US-OH-547
8,2006-05-01 00:00:00,0,Jersey Boys,US-OH-547
9,2006-06-01 00:00:00,52,Jersey Boys,US-OH-547
10,2006-07-01 00:00:00,49,Jersey Boys,US-OH-547
11,2006-08-01 00:00:00,0,Jersey Boys,US-OH-547
12,2006-09-01 00:00:00,42,Jersey Boys,US-OH-547
13,2006-10-01 00:00:00,0,Jersey Boys,US-OH-547
14,2006-11-01 00:00:00,0,Jersey Boys,US-OH-547
15,2006-12-01 00:00:00,39,Jersey Boys,US-OH-547
16,2007-01-01 00:00:00,34,Jersey Boys,US-OH-547
17,2007-02-01 00:00:00,69,Jersey Boys,US-OH-547
18,2007-03-01 00:00:00,0,Jersey Boys,US-OH-547
19,2007-04-01 00:00:00,0,Jersey Boys,US-OH-547
20,2007-05-01 00:00:00,0,Jersey Boys,US-OH-547
21,2007-06-01 00:00:00,0,Jersey Boys,US-OH-547
22,2007-07-01 00:00:00,33,Jersey Boys,US-OH-547
23,2007-08-01 00:00:00,0,Jersey Boys,US-OH-547
24,2007-09-01 00:00:00,0,Jersey Boys,US-OH-547
25,2007-10-01 00:00:00,26,Jersey Boys,US-OH-547
26,2007-11-01 00:00:00,26,Jersey Boys,US-OH-547
27,2007-12-01 00:00:00,28,Jersey Boys,US-OH-547
28,2008-01-01 00:00:00,25,Jersey Boys,US-OH-547
29,2008-02-01 00:00:00,0,Jersey Boys,US-OH-547
30,2008-03-01 00:00:00,0,Jersey Boys,US-OH-547
31,2008-04-01 00:00:00,24,Jersey Boys,US-OH-547
32,2008-05-01 00:00:00,27,Jersey Boys,US-OH-547
33,2008-06-01 00:00:00,46,Jersey Boys,US-OH-547
34,2008-07-01 00:00:00,28,Jersey Boys,US-OH-547
35,2008-08-01 00:00:00,28,Jersey Boys,US-OH-547
36,2008-09-01 00:00:00,25,Jersey Boys,US-OH-547
37,2008-10-01 00:00:00,0,Jersey Boys,US-OH-547
38,2008-11-01 00:00:00,24,Jersey Boys,US-OH-547
39,2008-12-01 00:00:00,0,Jersey Boys,US-OH-547
40,2009-01-01 00:00:00,32,Jersey Boys,US-OH-547
41,2009-02-01 00:00:00,0,Jersey Boys,US-OH-547
42,2009-03-01 00:00:00,20,Jersey Boys,US-OH-547
43,2009-04-01 00:00:00,0,Jersey Boys,US-OH-547
44,2009-05-01 00:00:00,0,Jersey Boys,US-OH-547
45,2009-06-01 00:00:00,24,Jersey Boys,US-OH-547
46,2009-07-01 00:00:00,24,Jersey Boys,US-OH-547
47,2009-08-01 00:00:00,0,Jersey Boys,US-OH-547
48,2009-09-01 00:00:00,32,Jersey Boys,US-OH-547
49,2009-10-01 00:00:00,20,Jersey Boys,US-OH-547
50,2009-11-01 00:00:00,0,Jersey Boys,US-OH-547
51,2009-12-01 00:00:00,20,Jersey Boys,US-OH-547
52,2010-01-01 00:00:00,38,Jersey Boys,US-OH-547
53,2010-02-01 00:00:00,0,Jersey Boys,US-OH-547
54,2010-03-01 00:00:00,0,Jersey Boys,US-OH-547
55,2010-04-01 00:00:00,0,Jersey Boys,US-OH-547
56,2010-05-01 00:00:00,21,Jersey Boys,US-OH-547
57,2010-06-01 00:00:00,22,Jersey Boys,US-OH-547
58,2010-07-01 00:00:00,0,Jersey Boys,US-OH-547
59,2010-08-01 00:00:00,0,Jersey Boys,US-OH-547
60,2010-09-01 00:00:00,19,Jersey Boys,US-OH-547
61,2010-10-01 00:00:00,0,Jersey Boys,US-OH-547
62,2010-11-01 00:00:00,18,Jersey Boys,US-OH-547
63,2010-12-01 00:00:00,19,Jersey Boys,US-OH-547
64,2011-01-01 00:00:00,11,Jersey Boys,US-OH-547
65,2011-02-01 00:00:00,0,Jersey Boys,US-OH-547
66,2011-03-01 00:00:00,21,Jersey Boys,US-OH-547
67,2011-04-01 00:00:00,11,Jersey Boys,US-OH-547
68,2011-05-01 00:00:00,11,Jersey Boys,US-OH-547
69,2011-06-01 00:00:00,13,Jersey Boys,US-OH-547
70,2011-07-01 00:00:00,12,Jersey Boys,US-OH-547
71,2011-08-01 00:00:00,17,Jersey Boys,US-OH-547
72,2011-09-01 00:00:00,16,Jersey Boys,US-OH-547
73,2011-10-01 00:00:00,21,Jersey Boys,US-OH-547
74,2011-11-01 00:00:00,20,Jersey Boys,US-OH-547
75,2011-12-01 00:00:00,30,Jersey Boys,US-OH-547
76,2012-01-01 00:00:00,27,Jersey Boys,US-OH-547
77,2012-02-01 00:00:00,100,Jersey Boys,US-OH-547
78,2012-03-01 00:00:00,9,Jersey Boys,US-OH-547
79,2014-01-26 00:00:00,19,Cabaret,US-AZ-789
80,2014-02-02 00:00:00,0,Cabaret,US-AZ-789
81,2014-02-09 00:00:00,20,Cabaret,US-AZ-789
