,Unnamed: 0,Unnamed: 0.1,tour_descript,city,dates,theatre,city_opening_date,city_closing_date,geo_code,full_code,metro_area_name,year
0,0,0,the lion king (tour: gazelle),"Houston, TX","Jun 27, 2017 - Jul 23, 2017",Hobby Center For The Performing Arts,2017-06-27 00:00:00,2017-07-23 00:00:00,618,US-TX-618,Houston TX,2017
1,1,1,the lion king (tour: gazelle),"Houston, TX","Jul 09, 2012 - Aug 12, 2012",Hobby Center For The Performing Arts,2012-07-09 00:00:00,2012-08-12 00:00:00,618,US-TX-618,Houston TX,2012
3,3,3,the book of mormon (tour: jumamosi),"Houston, TX","Jan 15, 2019 - Jan 20, 2019",Hobby Center For The Performing Arts,2019-01-15 00:00:00,2019-01-20 00:00:00,618,US-TX-618,Houston TX,2017
4,4,4,the book of mormon (tour: jumamosi),"Houston, TX","Jan 03, 2017 - Jan 15, 2017",Hobby Center For The Performing Arts,2017-01-03 00:00:00,2017-01-15 00:00:00,618,US-TX-618,Houston TX,2015
5,5,5,the book of mormon (tour: latter day),"Houston, TX","Jan 20, 2015 - Feb 08, 2015",Hobby Center For The Performing Arts,2015-01-20 00:00:00,2015-02-08 00:00:00,618,US-TX-618,Houston TX,2013
6,6,6,the book of mormon (tour: latter day),"Houston, TX","Sep 03, 2013 - Sep 15, 2013",Hobby Center For The Performing Arts,2013-09-03 00:00:00,2013-09-15 00:00:00,618,US-TX-618,Houston TX,2015
7,7,7,pippin (tour),"Houston, TX","Oct 20, 2015 - Oct 25, 2015",Hobby Center For The Performing Arts,2015-10-20 00:00:00,2015-10-25 00:00:00,618,US-TX-618,Houston TX,2015
8,8,8,rodgers + hammerstein's cinderella (tour),"Houston, TX","May 26, 2015 - Jun 07, 2015",Hobby Center For The Performing Arts,2015-05-26 00:00:00,2015-06-07 00:00:00,618,US-TX-618,Houston TX,2015
11,11,11,jersey boys (tour),"Houston, TX","Feb 07, 2020 - Feb 09, 2020",Hobby Center For The Performing Arts,2020-02-07 00:00:00,2020-02-09 00:00:00,618,US-TX-618,Houston TX,2013
12,12,12,jersey boys (tour),"Houston, TX","Nov 15, 2016 - Nov 20, 2016",Hobby Center For The Performing Arts,2016-11-15 00:00:00,2016-11-20 00:00:00,618,US-TX-618,Houston TX,2015
13,13,13,jersey boys (tour),"Houston, TX","Mar 19, 2013 - Mar 31, 2013",Hobby Center For The Performing Arts,2013-03-19 00:00:00,2013-03-31 00:00:00,618,US-TX-618,Houston TX,2010
14,14,14,once (tour),"Houston, TX","Mar 10, 2015 - Mar 15, 2015",Hobby Center For The Performing Arts,2015-03-10 00:00:00,2015-03-15 00:00:00,618,US-TX-618,Houston TX,2007
15,15,15,wicked (tour: emerald city),"Houston, TX","Jun 29, 2010 - Jul 25, 2010",Hobby Center For The Performing Arts,2010-06-29 00:00:00,2010-07-25 00:00:00,618,US-TX-618,Houston TX,2005
16,16,16,wicked (tour: emerald city),"Houston, TX","Mar 28, 2007 - Apr 15, 2007",Hobby Center For The Performing Arts,2007-03-28 00:00:00,2007-04-15 00:00:00,618,US-TX-618,Houston TX,2016
18,18,18,wicked (tour: munchkinland),"Houston, TX","Jul 06, 2016 - Aug 14, 2016",Hobby Center For The Performing Arts,2016-07-06 00:00:00,2016-08-14 00:00:00,618,US-TX-618,Houston TX,2015
20,20,20,wicked (tour: munchkinland),"Houston, TX","Jun 23, 2021 - Aug 01, 2021",Hobby Center For The Performing Arts,2021-06-23 00:00:00,2021-08-01 00:00:00,618,US-TX-618,Houston TX,2015
21,21,21,motown the musical (tour),"Houston, TX","Jul 21, 2015 - Jul 26, 2015",Hobby Center For The Performing Arts,2015-07-21 00:00:00,2015-07-26 00:00:00,618,US-TX-618,Houston TX,2012
22,22,22,the phantom of the opera (tour),"Houston, TX","Nov 07, 2018 - Nov 18, 2018",Hobby Center For The Performing Arts,2018-11-07 00:00:00,2018-11-18 00:00:00,618,US-TX-618,Houston TX,2015
23,23,23,the phantom of the opera (tour),"Houston, TX","Nov 18, 2015 - Nov 29, 2015",Hobby Center For The Performing Arts,2015-11-18 00:00:00,2015-11-29 00:00:00,618,US-TX-618,Houston TX,2015
24,24,24,million dollar quartet (tour),"Houston, TX","Feb 28, 2012 - Mar 04, 2012",Hobby Center For The Performing Arts,2012-02-28 00:00:00,2012-03-04 00:00:00,618,US-TX-618,Houston TX,2015
25,25,25,matilda the musical (tour),"Houston, TX","Oct 06, 2015 - Oct 18, 2015",Hobby Center For The Performing Arts,2015-10-06 00:00:00,2015-10-18 00:00:00,618,US-TX-618,Houston TX,2019
26,26,26,the illusionists - witness the impossible (tour),"Houston, TX","Jun 02, 2015 - Jun 06, 2015",Jones Hall For The Performing Arts,2015-06-02 00:00:00,2015-06-06 00:00:00,618,US-TX-618,Houston TX,2013
27,27,27,joseph and the amazing technicolor dreamcoat (tour: 2014),"Houston, TX","Mar 17, 2015 - Mar 29, 2015",Hobby Center For The Performing Arts,2015-03-17 00:00:00,2015-03-29 00:00:00,618,US-TX-618,Houston TX,2016
28,28,28,chicago (tour),"Houston, TX","Jun 05, 2019 - Jun 09, 2019",Jones Hall For The Performing Arts,2019-06-05 00:00:00,2019-06-09 00:00:00,618,US-TX-618,Houston TX,2016
29,29,29,chicago (tour),"Houston, TX","Nov 12, 2013 - Nov 17, 2013",Hobby Center For The Performing Arts,2013-11-12 00:00:00,2013-11-17 00:00:00,618,US-TX-618,Houston TX,2016
30,30,30,the bridges of madison county (tour),"Houston, TX","Jan 19, 2016 - Jan 31, 2016",Hobby Center For The Performing Arts,2016-01-19 00:00:00,2016-01-31 00:00:00,618,US-TX-618,Houston TX,2016
31,31,31,the sound of music (tour),"Houston, TX","Feb 16, 2016 - Feb 21, 2016",Hobby Center For The Performing Arts,2016-02-16 00:00:00,2016-02-21 00:00:00,618,US-TX-618,Houston TX,2016
32,32,32,a gentleman's guide to love &amp; murder (tour),"Houston, TX","May 04, 2016 - May 15, 2016",Hobby Center For The Performing Arts,2016-05-04 00:00:00,2016-05-15 00:00:00,618,US-TX-618,Houston TX,2017
33,33,33,beautiful the carole king musical (tour),"Houston, TX","May 31, 2016 - Jun 05, 2016",Hobby Center For The Performing Arts,2016-05-31 00:00:00,2016-06-05 00:00:00,618,US-TX-618,Houston TX,2017
34,34,34,cabaret (tour),"Houston, TX","Mar 22, 2016 - Mar 27, 2016",Hobby Center For The Performing Arts,2016-03-22 00:00:00,2016-03-27 00:00:00,618,US-TX-618,Houston TX,2017
35,35,35,an american in paris (tour),"Houston, TX","Feb 21, 2017 - Mar 05, 2017",Hobby Center For The Performing Arts,2017-02-21 00:00:00,2017-03-05 00:00:00,618,US-TX-618,Houston TX,2017
36,36,36,finding neverland (tour),"Houston, TX","Apr 25, 2017 - Apr 30, 2017",Hobby Center For The Performing Arts,2017-04-25 00:00:00,2017-04-30 00:00:00,618,US-TX-618,Houston TX,2017
37,37,37,the curious incident of the dog in the night-time (tour),"Houston, TX","Jan 24, 2017 - Jan 29, 2017",Hobby Center For The Performing Arts,2017-01-24 00:00:00,2017-01-29 00:00:00,618,US-TX-618,Houston TX,2017
38,38,38,the king and i (tour),"Houston, TX","Mar 14, 2017 - Mar 19, 2017",Hobby Center For The Performing Arts,2017-03-14 00:00:00,2017-03-19 00:00:00,618,US-TX-618,Houston TX,2014
39,39,39,something rotten! (tour),"Houston, TX","Jun 06, 2017 - Jun 11, 2017",Hobby Center For The Performing Arts,2017-06-06 00:00:00,2017-06-11 00:00:00,618,US-TX-618,Houston TX,2013
40,40,40,fun home (tour),"Houston, TX","May 16, 2017 - May 28, 2017",Hobby Center For The Performing Arts,2017-05-16 00:00:00,2017-05-28 00:00:00,618,US-TX-618,Houston TX,2014
41,41,41,evita (tour: 2013),"Houston, TX","May 06, 2014 - May 18, 2014",Hobby Center For The Performing Arts,2014-05-06 00:00:00,2014-05-18 00:00:00,618,US-TX-618,Houston TX,2012
42,42,42,peter and the starcatcher (tour),"Houston, TX","Oct 15, 2013 - Oct 20, 2013",Hobby Center For The Performing Arts,2013-10-15 00:00:00,2013-10-20 00:00:00,618,US-TX-618,Houston TX,2013
43,43,43,war horse (tour),"Houston, TX","May 27, 2014 - Jun 01, 2014",Hobby Center For The Performing Arts,2014-05-27 00:00:00,2014-06-01 00:00:00,618,US-TX-618,Houston TX,2013
44,44,44,fela! (tour),"Houston, TX","Jun 05, 2012 - Jun 10, 2012",Jones Hall For The Performing Arts,2012-06-05 00:00:00,2012-06-10 00:00:00,618,US-TX-618,Houston TX,2012
45,45,45,sister act (tour),"Houston, TX","May 28, 2013 - Jun 02, 2013",Hobby Center For The Performing Arts,2013-05-28 00:00:00,2013-06-02 00:00:00,618,US-TX-618,Houston TX,2009
46,46,46,priscilla queen of the desert (tour),"Houston, TX","Sep 24, 2013 - Oct 13, 2013",Hobby Center For The Performing Arts,2013-09-24 00:00:00,2013-10-13 00:00:00,618,US-TX-618,Houston TX,2012
