,Unnamed: 0,title,tour_descript,show_type,tour_opening,tour_closing,original_or_revival,reference_url,year
0,0,The Lion King (Tour: Gazelle),Tour: Gazelle,Musical,2002-04-17 00:00:00,2017-07-23 00:00:00,Original,http://www.ibdb.com/broadway-production/the-lion-king-499333#Tours,2002
1,1,The Book of Mormon (Tour: Jumamosi),Tour: Jumamosi,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012
2,2,The Book of Mormon (Tour: Latter Day),Tour: Latter Day,Musical,2012-08-14 00:00:00,2016-05-01 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499336#Tours,2012
3,3,Pippin (Tour),Tour,Musical,2014-09-06 00:00:00,2016-02-28 00:00:00,Revival,http://www.ibdb.com/broadway-production/pippin-499338#Tours,2014
4,4,Rodgers + Hammerstein's Cinderella (Tour),Tour,Musical,2014-10-10 00:00:00,2016-05-08 00:00:00,Original,http://www.ibdb.com/broadway-production/rodgers-hammersteins-cinderella-499416#Tours,2014
5,5,Kinky Boots (Tour),Tour,Musical,2014-09-04 00:00:00,2017-06-18 00:00:00,Original,http://www.ibdb.com/broadway-production/kinky-boots-499455#Tours,2014
6,6,Newsies The Musical (Tour),Tour,Musical,2014-10-11 00:00:00,2016-10-02 00:00:00,Original,http://www.ibdb.com/broadway-production/newsies-the-musical-499537#Tours,2014
7,7,Jersey Boys (Tour),Tour,Musical,2011-12-06 00:00:00,,Original,http://www.ibdb.com/broadway-production/jersey-boys-499646#Tours,2011
8,8,Blithe Spirit (Tour),Tour,Play,2014-12-09 00:00:00,2015-03-29 00:00:00,Revival,http://www.ibdb.com/broadway-production/blithe-spirit-499713#Tours,2014
9,9,Once (Tour),Tour,Musical,2013-10-01 00:00:00,2015-12-27 00:00:00,Original,http://www.ibdb.com/broadway-production/once-499747#Tours,2013
10,10,Wicked (Tour: Emerald City),Tour: Emerald City,Musical,2005-03-09 00:00:00,2015-03-15 00:00:00,Original,http://www.ibdb.com/broadway-production/wicked-500327#Tours,2005
11,11,Wicked (Tour: Munchkinland),Tour: Munchkinland,Musical,2009-03-07 00:00:00,,Original,http://www.ibdb.com/broadway-production/wicked-500380#Tours,2009
12,12,Motown The Musical (Tour),Tour,Musical,2014-04-22 00:00:00,2016-07-03 00:00:00,Original,http://www.ibdb.com/broadway-production/motown-the-musical-500521#Tours,2014
13,13,The Phantom of the Opera (Tour),Tour,Musical,2013-11-27 00:00:00,2020-02-02 00:00:00,Original,http://www.ibdb.com/broadway-production/the-phantom-of-the-opera-500558#Tours,2013
14,14,Million Dollar Quartet (Tour),Tour,Musical,2011-01-08 00:00:00,2015-06-28 00:00:00,Original,http://www.ibdb.com/broadway-production/million-dollar-quartet-500633#Tours,2011
15,15,Matilda The Musical (Tour),Tour,Musical,2015-05-16 00:00:00,2017-06-25 00:00:00,Original,http://www.ibdb.com/broadway-production/matilda-the-musical-500688#Tours,2015
16,16,The Illusionists - Witness the Impossible (Tour),Tour,Special,2014-11-19 00:00:00,2020-03-14 00:00:00,Original,http://www.ibdb.com/broadway-production/the-illusionists--witness-the-impossible-500709#Tours,2014
17,17,Joseph and the Amazing Technicolor Dreamcoat (Tour: 2014),Tour: 2014,Musical,2014-03-04 00:00:00,2015-04-26 00:00:00,Revival,http://www.ibdb.com/broadway-production/joseph-and-the-amazing-technicolor-dreamcoat-500724#Tours,2014
18,18,Chicago (Tour),Tour,Musical,2013-09-03 00:00:00,2019-06-09 00:00:00,Revival,http://www.ibdb.com/broadway-production/chicago-500842#Tours,2013
19,19,Irving Berlin's White Christmas (Tour: 2015),Tour: 2015,Musical,2015-11-06 00:00:00,2015-12-27 00:00:00,Revival,http://www.ibdb.com/broadway-production/irving-berlins-white-christmas-500918#Tours,2015
20,20,The Bridges of Madison County (Tour),Tour,Musical,2015-11-28 00:00:00,2016-07-24 00:00:00,Original,http://www.ibdb.com/broadway-production/the-bridges-of-madison-county-500919#Tours,2015
21,21,Elf (Tour),Tour,Musical,2015-11-06 00:00:00,2015-12-27 00:00:00,Revival,http://www.ibdb.com/broadway-production/elf-500920#Tours,2015
22,22,If/Then (Tour),Tour,Musical,2015-10-13 00:00:00,2016-08-14 00:00:00,Original,http://www.ibdb.com/broadway-production/if-then-500921#Tours,2015
23,23,The Sound of Music (Tour),Tour,Musical,2015-09-14 00:00:00,2017-07-23 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-sound-of-music-500922#Tours,2015
24,24,A Gentleman's Guide to Love &amp; Murder (Tour),Tour,Musical,2015-09-19 00:00:00,2017-03-12 00:00:00,Original,http://www.ibdb.com/broadway-production/a-gentlemans-guide-to-love-murder-500923#Tours,2015
25,25,Beautiful The Carole King Musical (Tour),Tour,Musical,2015-09-15 00:00:00,2020-03-12 00:00:00,Original,http://www.ibdb.com/broadway-production/beautiful-the-carole-king-musical-500924#Tours,2015
26,26,Love Letters (Tour),Tour,Play,2015-07-21 00:00:00,2016-06-12 00:00:00,Original,http://www.ibdb.com/broadway-production/love-letters-500925#Tours,2015
27,27,Cabaret (Tour),Tour,Musical,2016-01-26 00:00:00,2017-08-06 00:00:00,Revival,http://www.ibdb.com/broadway-production/cabaret-500934#Tours,2016
28,28,An American in Paris (Tour),Tour,Musical,2016-10-14 00:00:00,2018-07-01 00:00:00,Original,http://www.ibdb.com/broadway-production/an-american-in-paris-500946#Tours,2016
29,29,Finding Neverland (Tour),Tour,Musical,2016-10-07 00:00:00,2018-04-29 00:00:00,Original,http://www.ibdb.com/broadway-production/finding-neverland-500948#Tours,2016
30,30,The Curious Incident of the Dog in the Night-Time (Tour),Tour,Play,2016-09-27 00:00:00,2017-09-24 00:00:00,Original,http://www.ibdb.com/broadway-production/the-curious-incident-of-the-dog-in-the-night-time-501083#Tours,2016
31,31,The King and I (Tour),Tour,Musical,2016-10-30 00:00:00,2018-08-12 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-king-and-i-501084#Tours,2016
32,32,Something Rotten! (Tour),Tour,Musical,2017-01-10 00:00:00,2018-05-20 00:00:00,Original,http://www.ibdb.com/broadway-production/something-rotten-501160#Tours,2017
33,33,Fun Home (Tour),Tour,Musical,2016-10-02 00:00:00,2017-12-03 00:00:00,Original,http://www.ibdb.com/broadway-production/fun-home-501161#Tours,2016
34,34,Evita (Tour: 2013),Tour: 2013,Musical,2013-09-10 00:00:00,2014-10-19 00:00:00,Revival,http://www.ibdb.com/broadway-production/evita-503195#Tours,2013
35,35,The Gershwins' Porgy and Bess (Tour),Tour,Musical,2013-11-12 00:00:00,2014-07-20 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-gershwins-porgy-and-bess-503197#Tours,2013
36,36,Anything Goes (Tour),Tour,Musical,2012-10-02 00:00:00,2013-11-17 00:00:00,Revival,http://www.ibdb.com/broadway-production/anything-goes-503240#Tours,2012
37,37,Peter and the Starcatcher (Tour),Tour,Play,2013-08-13 00:00:00,2014-05-25 00:00:00,Original,http://www.ibdb.com/broadway-production/peter-and-the-starcatcher-503250#Tours,2013
38,38,War Horse (Tour),Tour,Play,2012-06-05 00:00:00,2014-06-22 00:00:00,Original,http://www.ibdb.com/broadway-production/war-horse-503332#Tours,2012
39,39,Fela! (Tour),Tour,Musical,2011-09-13 00:00:00,2013-06-09 00:00:00,Original,http://www.ibdb.com/broadway-production/fela-503333#Tours,2011
