,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,city,dates,theatre,city_opening_date,city_closing_date
0,0,0,0,The Lion King (Tour: Gazelle),"Houston, TX","Jun 27, 2017 - Jul 23, 2017",Hobby Center For The Performing Arts,2017-06-27 00:00:00,2017-07-23 00:00:00
1,1,1,1,The Lion King (Tour: Gazelle),"Greenville, SC","May 31, 2017 - Jun 25, 2017",Peace Center For The Performing Arts,2017-05-31 00:00:00,2017-06-25 00:00:00
2,2,2,2,The Lion King (Tour: Gazelle),"Oklahoma City, OK","May 09, 2017 - May 28, 2017",Civic Center Music Hall,2017-05-09 00:00:00,2017-05-28 00:00:00
3,3,3,3,The Lion King (Tour: Gazelle),"St. Louis, MO","Apr 18, 2017 - May 07, 2017",Fox Theatre - St. Louis,2017-04-18 00:00:00,2017-05-07 00:00:00
4,4,4,4,The Lion King (Tour: Gazelle),"Salt Lake City, UT","Mar 23, 2017 - Apr 16, 2017",George S. and Dolores Doré Eccles Theater,2017-03-23 00:00:00,2017-04-16 00:00:00
5,5,5,5,The Lion King (Tour: Gazelle),"Providence, RI","Feb 28, 2017 - Mar 19, 2017",Providence Performing Arts Center,2017-02-28 00:00:00,2017-03-19 00:00:00
6,6,6,6,The Lion King (Tour: Gazelle),"Detroit, MI","Feb 01, 2017 - Feb 26, 2017",Detroit Opera House,2017-02-01 00:00:00,2017-02-26 00:00:00
7,7,7,7,The Lion King (Tour: Gazelle),"New Orleans, LA","Jan 04, 2017 - Jan 29, 2017",Saenger Theatre (LA),2017-01-04 00:00:00,2017-01-29 00:00:00
8,8,8,8,The Lion King (Tour: Gazelle),"San Francisco, CA","Nov 02, 2016 - Dec 31, 2016",Orpheum Theatre - San Francisco,2016-11-02 00:00:00,2016-12-31 00:00:00
9,9,9,9,The Lion King (Tour: Gazelle),"Albuquerque, NM","Oct 04, 2016 - Oct 30, 2016",Popejoy Hall,2016-10-04 00:00:00,2016-10-30 00:00:00
10,10,10,10,The Lion King (Tour: Gazelle),"San Diego, CA","Sep 07, 2016 - Oct 02, 2016",San Diego Civic Theatre,2016-09-07 00:00:00,2016-10-02 00:00:00
11,11,11,11,The Lion King (Tour: Gazelle),"Portland, OR","Aug 10, 2016 - Sep 04, 2016",Keller Auditorium,2016-08-10 00:00:00,2016-09-04 00:00:00
12,12,12,12,The Lion King (Tour: Gazelle),"Minneapolis, MN","Jul 05, 2016 - Aug 07, 2016",Orpheum Theatre - Minneapolis,2016-07-05 00:00:00,2016-08-07 00:00:00
13,13,13,13,The Lion King (Tour: Gazelle),"Dayton, OH","Jun 07, 2016 - Jul 03, 2016",Schuster Performing Arts Center: Mead Theatre,2016-06-07 00:00:00,2016-07-03 00:00:00
14,14,14,14,The Lion King (Tour: Gazelle),"Madison, WI","May 10, 2016 - Jun 05, 2016",Overture Center,2016-05-10 00:00:00,2016-06-05 00:00:00
15,15,15,15,The Lion King (Tour: Gazelle),"Richmond, VA","Apr 19, 2016 - May 08, 2016",Altria Theater,2016-04-19 00:00:00,2016-05-08 00:00:00
16,16,16,16,The Lion King (Tour: Gazelle),"Schenectady, NY","Mar 22, 2016 - Apr 17, 2016",Proctors,2016-03-22 00:00:00,2016-04-17 00:00:00
17,17,17,17,The Lion King (Tour: Gazelle),"Durham, NC","Feb 16, 2016 - Mar 20, 2016",Durham Performing Arts Center,2016-02-16 00:00:00,2016-03-20 00:00:00
18,18,18,18,The Lion King (Tour: Gazelle),"Tampa, FL","Jan 20, 2016 - Feb 14, 2016","David A. Straz, Jr. Center for the Performing Arts",2016-01-20 00:00:00,2016-02-14 00:00:00
19,19,19,19,The Lion King (Tour: Gazelle),"Chicago, IL","Dec 02, 2015 - Jan 17, 2016",Cadillac Palace Theatre,2015-12-02 00:00:00,2016-01-17 00:00:00
20,20,20,20,The Lion King (Tour: Gazelle),"Denver, CO","Nov 04, 2015 - Nov 29, 2015",Buell Theatre,2015-11-04 00:00:00,2015-11-29 00:00:00
21,21,21,21,The Lion King (Tour: Gazelle),"Costa Mesa, CA","Oct 06, 2015 - Nov 01, 2015",Segerstrom Center for the Arts,2015-10-06 00:00:00,2015-11-01 00:00:00
22,22,22,22,The Lion King (Tour: Gazelle),"San Jose, CA","Sep 09, 2015 - Oct 04, 2015",San Jose Center For The Performing Arts,2015-09-09 00:00:00,2015-10-04 00:00:00
23,23,23,23,The Lion King (Tour: Gazelle),"Calgary, AB","Aug 11, 2015 - Sep 06, 2015",Southern Alberta Jubilee Auditorium,2015-08-11 00:00:00,2015-09-06 00:00:00
24,24,24,24,The Lion King (Tour: Gazelle),"Edmonton, AB","Jul 14, 2015 - Aug 09, 2015",Northern Alberta Jubilee Auditorium,2015-07-14 00:00:00,2015-08-09 00:00:00
25,25,25,25,The Lion King (Tour: Gazelle),"Vancouver, BC","Jun 18, 2015 - Jul 12, 2015",Queen Elizabeth Theatre,2015-06-18 00:00:00,2015-07-12 00:00:00
26,26,26,26,The Lion King (Tour: Gazelle),"Philadelphia, PA","May 20, 2015 - Jun 14, 2015",Academy Of Music: Kimmel Center,2015-05-20 00:00:00,2015-06-14 00:00:00
27,27,27,27,The Lion King (Tour: Gazelle),"Des Moines, IA","Apr 28, 2015 - May 17, 2015",Des Moines Civic Center,2015-04-28 00:00:00,2015-05-17 00:00:00
28,28,28,28,The Lion King (Tour: Gazelle),"Cincinnati, OH","Mar 31, 2015 - Apr 26, 2015",Aronoff Center For The Arts: Procter &amp; Gamble Hall,2015-03-31 00:00:00,2015-04-26 00:00:00
29,29,29,29,The Lion King (Tour: Gazelle),"Louisville, KY","Mar 03, 2015 - Mar 29, 2015",Kentucky Center For The Performing Arts,2015-03-03 00:00:00,2015-03-29 00:00:00
30,30,30,30,The Lion King (Tour: Gazelle),"Memphis, TN","Feb 03, 2015 - Mar 01, 2015",Orpheum Theatre - Memphis,2015-02-03 00:00:00,2015-03-01 00:00:00
31,31,31,31,The Lion King (Tour: Gazelle),"Fort Lauderdale, FL","Jan 07, 2015 - Feb 01, 2015",Broward Center For The Performing Arts,2015-01-07 00:00:00,2015-02-01 00:00:00
32,32,32,32,The Lion King (Tour: Gazelle),"San Antonio, TX","Dec 10, 2014 - Jan 04, 2015",Majestic Theatre - San Antonio,2014-12-10 00:00:00,2015-01-04 00:00:00
33,33,33,33,The Lion King (Tour: Gazelle),"Milwaukee, WI","Nov 11, 2014 - Dec 07, 2014",Miller High Life Theatre,2014-11-11 00:00:00,2014-12-07 00:00:00
34,34,34,34,The Lion King (Tour: Gazelle),"Columbus, OH","Oct 14, 2014 - Nov 09, 2014",Ohio Theatre,2014-10-14 00:00:00,2014-11-09 00:00:00
35,35,35,35,The Lion King (Tour: Gazelle),"Boston, MA","Sep 09, 2014 - Oct 12, 2014",Opera House (MA),2014-09-09 00:00:00,2014-10-12 00:00:00
36,36,36,36,The Lion King (Tour: Gazelle),"Montreal, QC","Aug 19, 2014 - Sep 07, 2014",Place Des Arts,2014-08-19 00:00:00,2014-09-07 00:00:00
37,37,37,37,The Lion King (Tour: Gazelle),"Washington, DC","Jun 17, 2014 - Aug 17, 2014",Opera House (DC),2014-06-17 00:00:00,2014-08-17 00:00:00
38,38,38,38,The Lion King (Tour: Gazelle),"Toronto, ON","Apr 30, 2014 - Jun 15, 2014",Princess of Wales,2014-04-30 00:00:00,2014-06-15 00:00:00
39,39,39,39,The Lion King (Tour: Gazelle),"Atlanta, GA","Apr 10, 2014 - Apr 27, 2014",Fox Theatre,2014-04-10 00:00:00,2014-04-27 00:00:00
40,40,40,40,The Lion King (Tour: Gazelle),"Seattle, WA","Mar 11, 2014 - Apr 06, 2014",Paramount Theatre,2014-03-11 00:00:00,2014-04-06 00:00:00
41,41,41,41,The Lion King (Tour: Gazelle),"Honolulu, HI","Jan 14, 2014 - Mar 09, 2014",Neal S. Blaisdell Center Concert Hall,2014-01-14 00:00:00,2014-03-09 00:00:00
42,42,42,42,The Lion King (Tour: Gazelle),"Los Angeles, CA","Nov 20, 2013 - Jan 12, 2014",Pantages Theatre - Los Angeles,2013-11-20 00:00:00,2014-01-12 00:00:00
43,43,43,43,The Lion King (Tour: Gazelle),"Tempe, AZ","Oct 22, 2013 - Nov 17, 2013",ASU Gammage,2013-10-22 00:00:00,2013-11-17 00:00:00
44,44,44,44,The Lion King (Tour: Gazelle),"Dallas, TX","Oct 02, 2013 - Oct 20, 2013",Music Hall At Fair Park,2013-10-02 00:00:00,2013-10-20 00:00:00
