,Unnamed: 0,city,geo_code,full_code,metro_area_name
0,0,"Houston, TX",618,US-TX-618,Houston TX
1,1,"Greenville, SC",567,US-SC-567,"Greenville-Spartanburg SC-Asheville NC-Anderson SC,"
2,2,"Oklahoma City, OK",650,US-OK-650,Oklahoma City OK
3,3,"St. Louis, MO",609,US-IL-609,St. Louis MO
4,4,"Salt Lake City, UT",770,US-NV-770,Salt Lake City UT
5,5,"Providence, RI",521,US-MA-521,Providence RI-New Bedford MA
6,6,"Detroit, MI",505,US-MI-505,Detroit MI
7,7,"New Orleans, LA",622,US-LA-622,New Orleans LA
8,8,"San Francisco, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
9,9,"Albuquerque, NM",790,US-NM-790,Albuquerque-Santa Fe NM
10,10,"San Diego, CA",825,US-CA-825,San Diego CA
11,11,"Portland, OR",820,US-OR-820,Portland OR
12,12,"Minneapolis, MN",613,US-MN-613,Minneapolis-St. Paul MN
13,13,"Dayton, OH",542,US-OH-542,Dayton OH
14,14,"Madison, WI",669,US-WI-669,Madison WI
15,15,"Richmond, VA",556,US-VA-556,Richmond-Petersburg VA
16,16,"Schenectady, NY",523,US-NY-523,Albany-Schenactady-Troy NY
17,17,"Durham, NC",560,US-NC-560,Raleigh-Durham (Fayetteville) NC
18,18,"Tampa, FL",539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL
19,19,"Chicago, IL",602,US-IL-602,Chicago IL
20,20,"Denver, CO",751,US-CO-751,Denver CO
21,21,"Costa Mesa, CA",803,US-CA-803,Los Angeles CA
22,22,"San Jose, CA",807,US-CA-807,San Francisco-Oakland-San Jose CA
23,23,"Calgary, AB",AB,CA-AB,Calgary
24,24,"Edmonton, AB",AB,CA-AB,Calgary
25,25,"Vancouver, BC",BC,CA-BC,British Columbia
26,26,"Philadelphia, PA",504,US-PA-504,Philadelphia PA
27,27,"Des Moines, IA",679,US-IA-679,Des Moines-Ames IA
28,28,"Cincinnati, OH",515,US-OH-515,Cincinatti OH
29,29,"Louisville, KY",529,US-KY-529,Louisville KY
30,30,"Memphis, TN",640,US-TN-640,Memphis TN
31,31,"Fort Lauderdale, FL",528,US-FL-528,Miami-Ft. Lauderdale FL
32,32,"San Antonio, TX",641,US-TX-641,San Antonio TX
33,33,"Milwaukee, WI",617,US-WI-617,Milwaukee WI
34,34,"Columbus, OH",535,US-OH-535,Columbus OH
35,35,"Boston, MA",506,US-MA-506,Boston MA-Manchester NH
36,36,"Montreal, QC",QC,CA-QC,Québec
37,37,"Washington, DC",511,US-DC-511,Washington DC (Hagerstown MD)
38,38,"Toronto, ON",ON,CA-ON,Ontario
39,39,"Atlanta, GA",524,US-GA-524,Atlanta GA
40,40,"Seattle, WA",819,US-WA-819,Seattle-Tacoma WA
41,41,"Honolulu, HI",744,US-HI-744,Honolulu HI
42,42,"Los Angeles, CA",803,US-CA-803,Los Angeles CA
43,43,"Tempe, AZ",753,US-AZ-753,Phoenix AZ
44,44,"Dallas, TX",623,US-TX-623,Dallas-Ft. Worth TX
45,45,"Pittsburgh, PA",508,US-PA-508,Pittsburgh PA
46,46,"Charlotte, NC",517,US-NC-517,Charlotte NC
47,47,"Cleveland, OH",510,US-OH-510,Cleveland-Akron (Canton) OH
48,48,"Tulsa, OK",671,US-OK-671,Tulsa OK
49,49,"Nashville, TN",659,US-TN-659,Nashville TN
50,50,"Appleton, WI",658,US-WI-658,Green Bay-Appleton WI
51,51,"Omaha, NE",652,US-NE-652,Omaha NE
52,52,"Austin, TX",635,US-TX-635,Austin TX
53,53,"Wichita, KS",678,US-KS-678,Wichita-Hutchinson KS
54,54,"Miami, FL",528,US-FL-528,Miami-Ft.Lauderdale FL
55,55,"Orlando, FL",534,US-FL-534,Orlando-Daytona Beach-Melbourne FL
56,56,"Baltimore, MD",512,US-MD-512,Baltimore MD
57,57,"Buffalo, NY",514,US-NY-514,Buffalo NY
58,58,"Syracuse, NY",555,US-NY-555,Syracuse NY
59,59,"Ottawa, ON",ON,CA-ON,Ontario
60,60,"Rochester, NY",538,US-NY-538,Rochester NY
61,61,"Norfolk, VA",544,US-VA-544,Norfolk-Portsmouth-Newport News VA
62,62,"Hartford, CT",533,US-CT-533,Hartford & New Haven CT
63,63,"Spokane, WA",881,US-WA-881,Spokane WA
64,64,"Anchorage, AK",743,US-AK-743,Anchorage AK
65,65,"Sacramento, CA",862,US-CA-862,Sacramento-Stockton-Modesto CA
66,66,"East Lansing, MI",551,US-MI-551,Lansing MI
67,67,"Indianapolis, IN",527,US-IN-527,Indianapolis IN
68,68,"Kansas City, MO",616,US-MO-616,Kansas City MO
69,69,"Toledo, OH",547,US-OH-547,Toledo OH
70,70,"Jacksonville, FL",561,US-FL-561,Jacksonville FL
71,71,"Fort Myers, FL",571,US-FL-571,Ft. Myers-Naples FL
72,72,"Raleigh, NC",560,US-NC-560,Raleigh-Durham (Fayetteville) NC
73,73,"Birmingham, AL",630,US-AL-630,Birmingham AL
74,74,"Fort Worth, TX",623,US-TX-623,Dallas-Ft. Worth TX
75,75,"Tucson, AZ",789,US-AZ-789,Tucson (Sierra Vista) AZ
76,76,"Peoria, IL",675,US-IL-675,Peoria-Bloomington IL
77,77,"Gainesville, FL",592,US-FL-592,Gainesville FL
78,78,"Sarasota, FL",539,US-FL-539,Tampa-St. Petersburg (Sarasota) FL
79,79,"Mexico City, ",DIF,MX-DIF,Mexico City MX
80,80,"Monterrey, ",NLE,MX-NLE,Nuevo Leon
81,81,"Bloomington, IN",527,US-IN-527,Indianapolis IN
82,82,"University Park, PA",574,US-PA-574,Johnstown-Altoona PA
83,83,"Regina, SK",,CA-SK,Saskatchewan
84,84,"Las Vegas, NV",839,US-NV-839,Las Vegas NV
85,85,"Thousand Oaks, CA",803,US-CA-803,Los Angeles CA
86,86,"Waterbury, CT",,US-CT,Connecticut
87,87,"Grand Rapids, MI",563,US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI
88,88,"Chattanooga, TN",575,US-TN-575,Chattanooga TN
89,89,"Little Rock, AR",693,US-AR-693,Little Rock-Pine Bluff AR
90,90,"Lincoln, NE",722,US-NE-722,Lincoln & Hastings-Kearney NE
91,91,"Reno, NV",811,US-NV-811,Reno NV
92,92,"Fresno, CA",866,US-CA-866,Fresno-Visalia CA
93,93,"Knoxville, TN",557,US-TN-557,Knoxville TN
94,94,"Davenport, IA",682,US-IA-682,Davenport IA-Rock Island-Moline IL
95,95,"Columbia, SC",546,US-SC-546,Columbia SC
96,96,"Huntsville, AL",691,US-AL-691,Huntsville-Decatur(Florence) AL
97,97,"Boise, ID",757,US-ID-757,Boise ID
98,98,"Eugene, OR",801,US-OR-801,Eugene OR
