,tour_descript,city,dates,theatre,city_opening_date,city_closing_date,geo_code,full_code,metro_area_name,year,title,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour_opening,year_nyc_opening,opening_date_nyc,closing_date_nyc,production_type_nyc,show_type_nyc,n_performances_nyc
120,the book of mormon (tour: jumamosi),"Houston, TX","Jan 15, 2019 - Jan 20, 2019",Hobby Center For The Performing Arts,2019-01-15 00:00:00,2019-01-20 00:00:00,618,US-TX-618,Houston TX,2017,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
121,the book of mormon (tour: jumamosi),"Houston, TX","Jan 03, 2017 - Jan 15, 2017",Hobby Center For The Performing Arts,2017-01-03 00:00:00,2017-01-15 00:00:00,618,US-TX-618,Houston TX,2015,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
122,the book of mormon (tour: jumamosi),"Greenville, SC","Nov 11, 2014 - Nov 16, 2014",Peace Center For The Performing Arts,2014-11-11 00:00:00,2014-11-16 00:00:00,567,US-SC-567,"Greenville-Spartanburg SC-Asheville NC-Anderson SC,",2018,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
123,the book of mormon (tour: jumamosi),"Oklahoma City, OK","Apr 24, 2018 - Apr 29, 2018",Civic Center Music Hall,2018-04-24 00:00:00,2018-04-29 00:00:00,650,US-OK-650,Oklahoma City OK,2015,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
124,the book of mormon (tour: jumamosi),"St. Louis, MO","May 29, 2018 - Jun 03, 2018",Fox Theatre - St. Louis,2018-05-29 00:00:00,2018-06-03 00:00:00,609,US-IL-609,St. Louis MO,2006,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
125,the book of mormon (tour: jumamosi),"Salt Lake City, UT","Aug 13, 2019 - Aug 25, 2019",George S. and Dolores Doré Eccles Theater,2019-08-13 00:00:00,2019-08-25 00:00:00,770,US-NV-770,Salt Lake City UT,2007,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
126,the book of mormon (tour: jumamosi),"Salt Lake City, UT","Aug 01, 2017 - Aug 20, 2017",George S. and Dolores Doré Eccles Theater,2017-08-01 00:00:00,2017-08-20 00:00:00,770,US-NV-770,Salt Lake City UT,2011,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
127,the book of mormon (tour: jumamosi),"Providence, RI","Apr 23, 2019 - Apr 28, 2019",Providence Performing Arts Center,2019-04-23 00:00:00,2019-04-28 00:00:00,521,US-MA-521,Providence RI-New Bedford MA,2007,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
128,the book of mormon (tour: jumamosi),"Providence, RI","Nov 17, 2015 - Nov 22, 2015",Providence Performing Arts Center,2015-11-17 00:00:00,2015-11-22 00:00:00,521,US-MA-521,Providence RI-New Bedford MA,2005,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
129,the book of mormon (tour: jumamosi),"Detroit, MI","Dec 04, 2018 - Dec 09, 2018",Fisher Theatre,2018-12-04 00:00:00,2018-12-09 00:00:00,505,US-MI-505,Detroit MI,2016,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
130,the book of mormon (tour: jumamosi),"Detroit, MI","Nov 01, 2016 - Nov 13, 2016",Fisher Theatre,2016-11-01 00:00:00,2016-11-13 00:00:00,505,US-MI-505,Detroit MI,2014,the book of mormon,Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012.0,2011.0,2011-03-24,,Original Production,Musical,
