,title,tour_descript,show_type_tour,tour_opening,tour_closing,original_or_revival,reference_url,year_tour,year_nyc,opening_date,closing_date,production_type,show_type_nyc,n_performances_nyc
0,The Book of Mormon,The Book of Mormon (Tour: Jumamosi),Musical,2012-12-11 00:00:00,2020-03-11 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499334#Tours,2012,2011,2011-03-24,,Original Production,Musical,
1,The Book of Mormon,The Book of Mormon (Tour: Latter Day),Musical,2012-08-14 00:00:00,2016-05-01 00:00:00,Original,http://www.ibdb.com/broadway-production/the-book-of-mormon-499336#Tours,2012,2011,2011-03-24,,Original Production,Musical,
2,Pippin,Pippin (Tour),Musical,2014-09-06 00:00:00,2016-02-28 00:00:00,Revival,http://www.ibdb.com/broadway-production/pippin-499338#Tours,2014,2013,2013-04-25,2015-01-04,Revival,Musical,
3,Cinderella,Rodgers + Hammerstein's Cinderella (Tour),Musical,2014-10-10 00:00:00,2016-05-08 00:00:00,Original,http://www.ibdb.com/broadway-production/rodgers-hammersteins-cinderella-499416#Tours,2014,2013,2013-03-03,2015-01-03,Original Production,Musical,
4,Kinky Boots,Kinky Boots (Tour),Musical,2014-09-04 00:00:00,2017-06-18 00:00:00,Original,http://www.ibdb.com/broadway-production/kinky-boots-499455#Tours,2014,2013,2013-04-04,2019-04-07,Original Production,Musical,
5,Newsies The Musical,Newsies The Musical (Tour),Musical,2014-10-11 00:00:00,2016-10-02 00:00:00,Original,http://www.ibdb.com/broadway-production/newsies-the-musical-499537#Tours,2014,2012,2012-03-29,2014-08-24,Original Production,Musical,
6,Jersey Boys,Jersey Boys (Tour),Musical,2011-12-06 00:00:00,,Original,http://www.ibdb.com/broadway-production/jersey-boys-499646#Tours,2011,2005,2005-11-06,2017-01-15,Original Production,Musical,
7,Jersey Boys,Jersey Boys (Tour),Musical,2006-12-01 00:00:00,2013-04-28 00:00:00,Original,http://www.ibdb.com/broadway-production/jersey-boys-504882#Tours,2006,2005,2005-11-06,2017-01-15,Original Production,Musical,
8,Blithe Spirit,Blithe Spirit (Tour),Play,2014-12-09 00:00:00,2015-03-29 00:00:00,Revival,http://www.ibdb.com/broadway-production/blithe-spirit-499713#Tours,2014,2009,2009-03-15,2009-07-19,Revival,Play,
9,Once,Once (Tour),Musical,2013-10-01 00:00:00,2015-12-27 00:00:00,Original,http://www.ibdb.com/broadway-production/once-499747#Tours,2013,2012,2012-03-18,2015-01-04,Original Production,Musical,
10,Wicked,Wicked (Tour: Emerald City),Musical,2005-03-09 00:00:00,2015-03-15 00:00:00,Original,http://www.ibdb.com/broadway-production/wicked-500327#Tours,2005,2003,2003-10-30,,Original Production,Musical,
11,Wicked,Wicked (Tour: Munchkinland),Musical,2009-03-07 00:00:00,,Original,http://www.ibdb.com/broadway-production/wicked-500380#Tours,2009,2003,2003-10-30,,Original Production,Musical,
12,Wicked,Wicked (Tour: Chicago),Musical,2005-06-24 00:00:00,2009-01-25 00:00:00,Original,http://www.ibdb.com/broadway-production/wicked-528450#Tours,2005,2003,2003-10-30,,Original Production,Musical,
13,Wicked,Wicked (Tour: Los Angeles),Musical,2007-02-10 00:00:00,2009-01-11 00:00:00,Original,http://www.ibdb.com/broadway-production/wicked-528455#Tours,2007,2003,2003-10-30,,Original Production,Musical,
14,Wicked,Wicked (Tour: San Francisco),Musical,2009-01-27 00:00:00,2010-09-05 00:00:00,Original,http://www.ibdb.com/broadway-production/wicked-528456#Tours,2009,2003,2003-10-30,,Original Production,Musical,
15,Million Dollar Quartet,Million Dollar Quartet (Tour),Musical,2011-01-08 00:00:00,2015-06-28 00:00:00,Original,http://www.ibdb.com/broadway-production/million-dollar-quartet-500633#Tours,2011,2010,2010-04-11,2011-06-12,Original Production,Musical,489.0
16,Bridges of Madison County,The Bridges of Madison County (Tour),Musical,2015-11-28 00:00:00,2016-07-24 00:00:00,Original,http://www.ibdb.com/broadway-production/the-bridges-of-madison-county-500919#Tours,2015,2014,2014-02-20,2014-05-18,Original Production,Musical,
17,If/Then,If/Then (Tour),Musical,2015-10-13 00:00:00,2016-08-14 00:00:00,Original,http://www.ibdb.com/broadway-production/if-then-500921#Tours,2015,2014,2014-03-30,2015-03-22,Original Production,Musical,
18,Love Letters,Love Letters (Tour),Play,2015-07-21 00:00:00,2016-06-12 00:00:00,Original,http://www.ibdb.com/broadway-production/love-letters-500925#Tours,2015,2014,2014-09-18,2014-12-14,Revival,Play,
19,Cabaret,Cabaret (Tour),Musical,2016-01-26 00:00:00,2017-08-06 00:00:00,Revival,http://www.ibdb.com/broadway-production/cabaret-500934#Tours,2016,2014,2014-04-24,2015-03-29,Revival,Musical,
20,An American in Paris,An American in Paris (Tour),Musical,2016-10-14 00:00:00,2018-07-01 00:00:00,Original,http://www.ibdb.com/broadway-production/an-american-in-paris-500946#Tours,2016,2015,2015-04-12,2016-10-09,Revival,Musical,
21,Finding Neverland,Finding Neverland (Tour),Musical,2016-10-07 00:00:00,2018-04-29 00:00:00,Original,http://www.ibdb.com/broadway-production/finding-neverland-500948#Tours,2016,2015,2015-04-15,2016-08-21,Premiere,Musical,
22,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time (Tour),Play,2016-09-27 00:00:00,2017-09-24 00:00:00,Original,http://www.ibdb.com/broadway-production/the-curious-incident-of-the-dog-in-the-night-time-501083#Tours,2016,2014,2014-10-05,2016-09-04,Premiere,Play,
23,The King and I,The King and I (Tour),Musical,2016-10-30 00:00:00,2018-08-12 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-king-and-i-501084#Tours,2016,2015,2015-04-16,2016-06-26,Revival,Musical,
24,Something Rotten!,Something Rotten! (Tour),Musical,2017-01-10 00:00:00,2018-05-20 00:00:00,Original,http://www.ibdb.com/broadway-production/something-rotten-501160#Tours,2017,2015,2015-04-22,2017-01-08,Original Production,Musical,
25,Fun Home,Fun Home (Tour),Musical,2016-10-02 00:00:00,2017-12-03 00:00:00,Original,http://www.ibdb.com/broadway-production/fun-home-501161#Tours,2016,2015,2015-04-19,2016-09-10,Premiere,Musical,
26,Evita,Evita (Tour: 2013),Musical,2013-09-10 00:00:00,2014-10-19 00:00:00,Revival,http://www.ibdb.com/broadway-production/evita-503195#Tours,2013,2012,2012-04-05,2013-01-26,Revival,Operetta,
27,Porgy and Bess,The Gershwins' Porgy and Bess (Tour),Musical,2013-11-12 00:00:00,2014-07-20 00:00:00,Revival,http://www.ibdb.com/broadway-production/the-gershwins-porgy-and-bess-503197#Tours,2013,2012,2012-01-12,2012-09-23,Revival,Musical,
28,Anything Goes,Anything Goes (Tour),Musical,2012-10-02 00:00:00,2013-11-17 00:00:00,Revival,http://www.ibdb.com/broadway-production/anything-goes-503240#Tours,2012,2011,2011-04-07,2012-07-08,Revival,Musical,
29,Peter and the Starcatcher,Peter and the Starcatcher (Tour),Play,2013-08-13 00:00:00,2014-05-25 00:00:00,Original,http://www.ibdb.com/broadway-production/peter-and-the-starcatcher-503250#Tours,2013,2012,2012-04-15,2013-01-20,Original Production,Play with Music,
30,War Horse,War Horse (Tour),Play,2012-06-05 00:00:00,2014-06-22 00:00:00,Original,http://www.ibdb.com/broadway-production/war-horse-503332#Tours,2012,2011,2011-04-14,2013-01-06,Original Production,Play,718.0
31,Fela,Fela! (Tour),Musical,2011-09-13 00:00:00,2013-06-09 00:00:00,Original,http://www.ibdb.com/broadway-production/fela-503333#Tours,2011,2012,2012-07-12,2012-08-04,Production,Musical,
32,Hello Dolly,"Hello, Dolly! (Tour)",Musical,2018-09-25 00:00:00,2020-03-11 00:00:00,Revival,http://www.ibdb.com/broadway-production/hello-dolly-518028#Tours,2018,2017,2017-04-20,2018-08-25,Revival,Musical,
33,Sister Act,Sister Act (Tour),Musical,2012-10-02 00:00:00,2014-06-29 00:00:00,Original,http://www.ibdb.com/broadway-production/sister-act-503926#Tours,2012,2011,2011-04-20,2012-08-26,Original Production,Musical,561.0
