,geo_code,theatre_near_me,shows_near_me
0,Denver CO,85%,15%
1,Colorado Springs-Pueblo CO,82%,18%
2,Youngstown OH,,100%
3,Panama City FL,59%,41%
4,South Bend-Elkhart IN,,100%
5,Chicago IL,63%,37%
6,Palm Springs CA,61%,39%
7,Harrisburg-Lancaster-Lebanon-York PA,33%,67%
8,Ft. Myers-Naples FL,38%,62%
9,Knoxville TN,38%,62%
10,Jacksonville FL,66%,34%
11,Rockford IL,,100%
12,Wilkes Barre-Scranton PA,,100%
13,Florence-Myrtle Beach SC,,100%
14,Flint-Saginaw-Bay City MI,,100%
15,Springfield-Holyoke MA,,100%
16,Orlando-Daytona Beach-Melbourne FL,57%,43%
17,Tri-Cities TN-VA,39%,61%
18,Philadelphia PA,35%,65%
19,Cleveland-Akron (Canton) OH,36%,64%
20,Toledo OH,,100%
21,Tampa-St. Petersburg (Sarasota) FL,50%,50%
22,Ft. Smith-Fayetteville-Springdale-Rogers AR,,100%
23,Springfield MO,,100%
24,Greenville-Spartanburg SC-Asheville NC-Anderson SC,33%,67%
25,Davenport IA-Rock Island-Moline IL,,100%
26,West Palm Beach-Ft. Pierce FL,50%,50%
27,Dayton OH,,100%
28,Mobile AL-Pensacola (Ft. Walton Beach) FL,48%,52%
29,Detroit MI,47%,53%
30,Las Vegas NV,35%,65%
31,Charleston SC,53%,47%
32,Albany-Schenectady-Troy NY,,100%
33,Cincinnati OH,45%,55%
34,St. Louis MO,50%,50%
35,Grand Rapids-Kalamazoo-Battle Creek MI,40%,60%
36,Salisbury MD,,100%
37,Dallas-Ft. Worth TX,52%,48%
38,Lansing MI,,100%
39,Pittsburgh PA,37%,63%
40,Binghamton NY,,100%
41,Kansas City MO,55%,45%
42,Green Bay-Appleton WI,,100%
43,Chattanooga TN,,100%
44,San Antonio TX,62%,38%
45,Atlanta GA,56%,44%
46,Norfolk-Portsmouth-Newport News VA,43%,57%
47,Ft. Wayne IN,,100%
48,Greenville-New Bern-Washington NC,41%,59%
49,Providence RI-New Bedford MA,,100%
50,Greensboro-High Point-Winston Salem NC,50%,50%
51,Raleigh-Durham (Fayetteville) NC,52%,48%
52,Minneapolis-St. Paul MN,57%,43%
53,Beaumont-Port Arthur TX,,100%
54,Augusta GA,,100%
55,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,,100%
56,Nashville TN,50%,50%
57,Jackson MS,,100%
58,Los Angeles CA,52%,48%
59,Milwaukee WI,45%,55%
60,Phoenix AZ,52%,48%
61,Sacramento-Stockton-Modesto CA,45%,55%
62,Buffalo NY,,100%
63,Huntsville-Decatur (Florence) AL,,100%
64,Charlotte NC,49%,51%
65,Evansville IN,,100%
66,Johnstown-Altoona PA,,100%
67,Salt Lake City UT,58%,42%
68,Houston TX,61%,39%
69,Tyler-Longview(Lufkin & Nacogdoches) TX,,100%
70,Waco-Temple-Bryan TX,48%,52%
71,Charleston-Huntington WV,,100%
72,Louisville KY,53%,47%
73,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,,100%
74,Monterey-Salinas CA,40%,60%
75,Baltimore MD,42%,58%
76,Oklahoma City OK,48%,52%
77,Madison WI,,100%
78,New Orleans LA,52%,48%
79,Little Rock-Pine Bluff AR,,100%
80,Indianapolis IN,50%,50%
81,Santa Barbara-Santa Maria-San Luis Obispo CA,52%,48%
82,Columbus OH,44%,56%
83,Washington DC (Hagerstown MD),48%,52%
84,Boston MA-Manchester NH,46%,54%
85,Fresno-Visalia CA,40%,60%
86,Richmond-Petersburg VA,,100%
