,Unnamed: 0_x,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,static_engagement_min,static_engagement_max,static_hits_zero,in_town_engagement,state,full_state,region,division,relative_frequency,static_hits_100,metro_area_name,Unnamed: 0_y,theatre_near_me,shows_near_me
0,0,a bronx tale (tour),US-CA-803,0.0,11.846153846153848,11.75,28.0,45.0,1,56.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
1,2,a chorus line (tour),US-CA-803,39.0,32.5,22.41666666666667,24.0,100.0,1,23.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
2,8,all shook up (tour),US-CA-803,0.0,13.884615384615385,5.98,38.0,77.0,1,19.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
3,12,american idiot (tour),US-CA-803,41.0,25.68,19.474226804123713,4.0,100.0,1,51.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
4,14,an american in paris,US-CA-803,12.0,14.52,12.295454545454545,7.0,42.0,1,97.66666666666669,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
5,17,anastasia (tour),US-CA-803,60.0,56.04,46.64347826086957,29.0,100.0,0,64.33333333333333,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
6,18,august: osage county (tour),US-CA-803,0.0,5.96,8.417721518987344,18.0,49.0,1,54.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
7,19,avenue q (tour),US-CA-803,16.0,19.0,21.724279835390945,4.0,100.0,1,35.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
8,22,blithe spirit (tour),US-CA-803,17.0,11.0,5.712121212121213,3.0,25.0,1,82.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
9,24,bombay dreams (tour),US-CA-803,67.0,12.923076923076925,8.0,35.0,100.0,1,57.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
10,26,bright star (tour),US-CA-803,43.0,34.96153846153846,32.791044776119406,16.0,70.0,0,83.33333333333333,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
11,28,cats (tour),US-CA-803,90.0,82.61538461538461,84.5702479338843,71.0,100.0,0,96.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
12,31,charlie and the chocolate factory (tour),US-CA-803,34.0,27.72,35.85057471264368,14.0,100.0,0,77.33333333333333,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
13,33,chitty chitty bang bang (tour),US-CA-803,0.0,7.269230769230767,13.131707317073168,16.0,100.0,1,28.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
14,34,come fly away (tour),US-CA-803,0.0,22.84615384615385,20.14457831325301,13.0,92.0,1,46.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
15,35,come from away (tour),US-CA-803,7.0,6.56,16.058139534883722,4.0,100.0,1,69.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
16,37,dear evan hansen (tour),US-CA-803,7.0,5.884615384615384,21.178947368421053,8.0,100.0,0,49.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
17,40,dirty rotten scoundrels (tour),US-CA-803,0.0,18.115384615384613,19.03125,28.0,86.0,1,56.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
18,44,doubt (tour),US-CA-803,100.0,58.03846153846154,38.40625,16.0,79.0,0,65.4,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
19,47,evita,US-CA-803,22.0,17.0,16.850746268656714,5.0,53.0,0,88.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
20,48,falsettos (tour),US-CA-803,11.0,12.346153846153848,14.6,9.0,98.0,1,95.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
21,50,fiddler on the roof (tour),US-CA-803,50.0,20.4,19.258064516129032,6.0,100.0,0,76.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
22,52,finding neverland,US-CA-803,10.0,13.12,10.931818181818182,4.0,100.0,1,38.5,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
23,54,frost/nixon (tour),US-CA-803,33.0,5.12,14.705882352941178,19.0,100.0,1,29.33333333333333,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
24,55,frozen (tour),US-CA-803,16.0,14.076923076923075,19.72222222222221,12.0,100.0,0,23.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
25,56,fun home,US-CA-803,16.0,15.8,11.63855421686747,5.0,32.0,0,42.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
26,58,grease (tour),US-CA-803,46.0,50.615384615384606,47.25333333333333,27.0,84.0,0,45.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
27,61,hair (tour),US-CA-803,75.0,76.52,85.82926829268294,72.0,100.0,0,94.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
28,65,hamilton (tour: angelica),US-CA-803,36.0,34.69230769230769,47.97826086956522,33.0,100.0,0,66.75,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
29,67,hamilton (tour: philip),US-CA-803,34.0,33.0,48.776923076923076,33.0,100.0,0,49.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
30,68,hedwig and the angry inch (tour),US-CA-803,39.0,15.84,8.478991596638656,4.0,47.0,1,84.5,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
31,70,"hello, dolly! (tour)",US-CA-803,32.0,16.46153846153846,13.051282051282053,4.0,85.0,1,56.0,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
32,71,if/then (tour),US-CA-803,18.0,13.92,9.466666666666667,8.0,43.0,1,82.75,CA,California,West,Pacific,59,0,Los Angeles CA,58.0,52.0,48.0
33,73,in the heights (tour),US-CA-803,20.0,8.038461538461537,20.776785714285715,6.0,100.0,1,33.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
34,76,into the woods (tour),US-CA-803,6.0,4.333333333333333,4.076923076923077,1.0,100.0,1,8.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
35,79,jersey boys (tour),US-CA-803,21.0,5.483870967741934,18.420833333333334,2.0,100.0,1,2.0,CA,California,West,Pacific,59,1,Los Angeles CA,58.0,52.0,48.0
